gameid,blue_league,blue_year,blue_split,blue_playoffs,blue_teamname,blue_side,blue_result,blue_ban1,blue_ban2,blue_ban3,blue_ban4,blue_ban5,blue_pick1,blue_pick2,blue_pick3,blue_pick4,blue_pick5,red_league,red_year,red_split,red_playoffs,red_teamname,red_side,red_result,red_ban1,red_ban2,red_ban3,red_ban4,red_ban5,red_pick1,red_pick2,red_pick3,red_pick4,red_pick5,blue_win
11715-11715_game_1,LPL,2025,Split 1,0,Weibo Gaming,Blue,1,Jayce,Poppy,Rumble,Rakan,Rell,Ashe,Aurora,Braum,K'Sante,Viego,LPL,2025,Split 1,0,Oh My God,Red,0,Skarner,Vi,Kalista,Xin Zhao,Wukong,Varus,Nocturne,Orianna,Neeko,Gnar,1
11715-11715_game_2,LPL,2025,Split 1,0,Oh My God,Blue,0,Caitlyn,Vi,Xin Zhao,Poppy,Alistar,Rumble,Rell,Jhin,Maokai,Ambessa,LPL,2025,Split 1,0,Weibo Gaming,Red,1,Kalista,Skarner,Corki,Sejuani,Yone,Jayce,Miss Fortune,Wukong,Rakan,Viktor,0
11715-11715_game_3,LPL,2025,Split 1,0,Oh My God,Blue,0,Vi,Caitlyn,Xin Zhao,Akali,Alistar,Leona,Zyra,Yone,Ziggs,Aatrox,LPL,2025,Split 1,0,Weibo Gaming,Red,1,Skarner,Kalista,Corki,Kai'Sa,Renekton,Jax,Sejuani,Jinx,Poppy,Sylas,0
11716-11716_game_1,LPL,2025,Split 1,0,LNG Esports,Blue,1,Galio,Nocturne,Varus,Corki,Miss Fortune,Kalista,Neeko,K'Sante,Pantheon,Vladimir,LPL,2025,Split 1,0,ThunderTalk Gaming,Red,0,Skarner,Ashe,Renata Glasc,Akali,Viktor,Rumble,Vi,Aurora,Ezreal,Leona,1
11716-11716_game_2,LPL,2025,Split 1,0,ThunderTalk Gaming,Blue,1,Jayce,Renata Glasc,Poppy,Xin Zhao,Jax,Wukong,Akali,Rakan,Gnar,Kai'Sa,LPL,2025,Split 1,0,LNG Esports,Red,0,Skarner,Ashe,Varus,Miss Fortune,Gragas,Corki,Rell,Taliyah,Renekton,Lee Sin,1
11716-11716_game_3,LPL,2025,Split 1,0,LNG Esports,Blue,0,Sejuani,Nocturne,Poppy,Udyr,Lulu,Ashe,Braum,Yone,Volibear,Jax,LPL,2025,Split 1,0,ThunderTalk Gaming,Red,1,Skarner,Renata Glasc,Ambessa,Zac,Zyra,Viktor,Xin Zhao,Varus,Karma,Gragas,0
11716-11716_game_4,LPL,2025,Split 1,0,LNG Esports,Blue,0,Udyr,Maokai,Caitlyn,Renata Glasc,Pyke,Ambessa,Sylas,Sejuani,Lulu,Twitch,LPL,2025,Split 1,0,ThunderTalk Gaming,Red,1,Skarner,Miss Fortune,Nocturne,Draven,Nautilus,Poppy,Azir,Viego,Jinx,Blitzcrank,0
11717-11717_game_1,LPL,2025,Split 1,0,Royal Never Give Up,Blue,0,Skarner,Nocturne,Varus,Wukong,Xin Zhao,Ashe,Braum,Viego,Jax,Orianna,LPL,2025,Split 1,0,FunPlus Phoenix,Red,1,Viktor,Corki,Rumble,Galio,Jayce,Neeko,K'Sante,Kalista,Aurora,Vi,0
11717-11717_game_2,LPL,2025,Split 1,0,Royal Never Give Up,Blue,1,Nocturne,Skarner,Galio,Leona,Rell,Varus,Ambessa,Nautilus,Akali,Lee Sin,LPL,2025,Split 1,0,FunPlus Phoenix,Red,0,Viktor,Corki,Rumble,LeBlanc,Kindred,Jayce,Miss Fortune,Wukong,Sylas,Rakan,1
11717-11717_game_3,LPL,2025,Split 1,0,FunPlus Phoenix,Blue,0,Viktor,LeBlanc,Galio,Kai'Sa,Jhin,Gnar,Rell,Jinx,Sejuani,Taliyah,LPL,2025,Split 1,0,Royal Never Give Up,Red,1,Skarner,Corki,Rumble,Yone,Tristana,Xin Zhao,Renekton,Ahri,Aphelios,Thresh,0
11717-11717_game_4,LPL,2025,Split 1,0,FunPlus Phoenix,Blue,0,Viktor,LeBlanc,Galio,Kai'Sa,Jhin,Corki,Leona,Nidalee,Udyr,Sivir,LPL,2025,Split 1,0,Royal Never Give Up,Red,1,Skarner,Ezreal,Rumble,Xayah,Ziggs,Yone,Karthus,Alistar,Tristana,Aatrox,0
LOLTMNT03_183532,LCK,2025,Cup,0,HANJIN BRION,Blue,1,Ashe,Varus,Aurora,Ambessa,Jax,Skarner,K'Sante,Yone,Miss Fortune,Rell,LCK,2025,Cup,0,Kiwoom DRX,Red,0,Kalista,Rumble,Azir,Ziggs,Kai'Sa,Viktor,Corki,Sejuani,Leona,Jayce,1
LOLTMNT03_183538,LCK,2025,Cup,0,Kiwoom DRX,Blue,1,Azir,Ashe,Varus,Nautilus,Caitlyn,Aurora,Wukong,Kai'Sa,Galio,Poppy,LCK,2025,Cup,0,HANJIN BRION,Red,0,Nocturne,Vi,Kalista,Ornn,Ambessa,Rumble,Viego,Taliyah,Rakan,Xayah,1
11718-11718_game_1,LPL,2025,Split 1,0,Ultra Prime,Blue,0,Orianna,Poppy,Kalista,Rakan,Jayce,Ashe,Braum,K'Sante,Wukong,Akali,LPL,2025,Split 1,0,Weibo Gaming,Red,1,Skarner,Rumble,Nocturne,Zyra,Viktor,Aurora,Vi,Varus,Rell,Ambessa,0
LOLTMNT03_183544,LCK,2025,Cup,0,HANJIN BRION,Blue,0,Nocturne,Lee Sin,LeBlanc,Orianna,Ornn,Varus,Nautilus,Renekton,Brand,Yasuo,LCK,2025,Cup,0,Kiwoom DRX,Red,1,Vi,Azir,Ashe,Nidalee,Zyra,Xin Zhao,Renata Glasc,Kalista,Gragas,Ambessa,0
11718-11718_game_2,LPL,2025,Split 1,0,Ultra Prime,Blue,1,Orianna,LeBlanc,Xin Zhao,Leona,Poppy,Kalista,Galio,Neeko,Sylas,Viego,LPL,2025,Split 1,0,Weibo Gaming,Red,0,Skarner,Zyra,Yone,Nocturne,Renata Glasc,Rumble,Viktor,Miss Fortune,Nautilus,Lee Sin,1
11718-11718_game_3,LPL,2025,Split 1,0,Weibo Gaming,Blue,1,Yone,Jayce,Nocturne,Jinx,Jhin,Corki,Rakan,Jax,Pantheon,Ahri,LPL,2025,Split 1,0,Ultra Prime,Red,0,Skarner,Orianna,Caitlyn,Sejuani,Zyra,Xin Zhao,Leona,Gragas,Ezreal,Taliyah,1
LOLTMNT03_183585,LCK,2025,Cup,0,DN SOOPers,Blue,1,Varus,Aurora,Corki,Leona,Nautilus,Kalista,Ambessa,Renata Glasc,Akali,Wukong,LCK,2025,Cup,0,Nongshim RedForce,Red,0,Skarner,Vi,K'Sante,Rumble,Maokai,Yone,Sejuani,Ziggs,Jayce,Alistar,1
11718-11718_game_4,LPL,2025,Split 1,0,Ultra Prime,Blue,0,Caitlyn,Draven,Jayce,Thresh,Renekton,Orianna,Kindred,Xayah,Udyr,Bard,LPL,2025,Split 1,0,Weibo Gaming,Red,1,Yone,Skarner,Maokai,Alistar,Ornn,Jinx,Nocturne,Syndra,Blitzcrank,Gnar,0
LOLTMNT03_182705,LCK,2025,Cup,0,Nongshim RedForce,Blue,1,Rumble,Poppy,Jax,Caitlyn,Varus,K'Sante,Viktor,Xin Zhao,Xayah,Rakan,LCK,2025,Cup,0,DN SOOPers,Red,0,Skarner,Vi,Corki,Ezreal,Ashe,Nocturne,Aurora,Orianna,Kai'Sa,Rell,1
LOLTMNT03_182729,LCK,2025,Cup,0,DN SOOPers,Blue,1,Leona,Nautilus,Rumble,Gragas,Maokai,Ashe,Jax,Braum,Ivern,Smolder,LCK,2025,Cup,0,Nongshim RedForce,Red,0,Skarner,Vi,Kindred,Lee Sin,Viego,Corki,Nidalee,Ezreal,Sion,Blitzcrank,1
LOLTMNT03_184086,LCK,2025,Cup,0,BNK FEARX,Blue,0,K'Sante,Ambessa,Skarner,Jax,Ornn,Rumble,Corki,Maokai,Kai'Sa,Leona,LCK,2025,Cup,0,KT Rolster,Red,1,Kalista,Jayce,Vi,Varus,Ezreal,Ashe,Yone,Zyra,Renekton,Braum,0
LOLTMNT03_183991,LCK,2025,Cup,0,BNK FEARX,Blue,1,Sejuani,Ambessa,Skarner,Azir,Aurora,K'Sante,Wukong,Taliyah,Zeri,Rell,LCK,2025,Cup,0,KT Rolster,Red,0,Kalista,Varus,Vi,Rakan,Ezreal,Xin Zhao,Caitlyn,Jayce,Viktor,Poppy,1
11719-11719_game_1,LPL,2025,Split 1,0,LGD Gaming,Blue,0,Ashe,Kalista,Viktor,Leona,Nocturne,Varus,K'Sante,Aurora,Lee Sin,Rell,LPL,2025,Split 1,0,Anyone's Legend,Red,1,Skarner,Rumble,Vi,Renata Glasc,Poppy,Jayce,Corki,Akali,Wukong,Rakan,0
LOLTMNT03_184105,LCK,2025,Cup,0,KT Rolster,Blue,1,Viego,Nocturne,Varus,Lee Sin,Sylas,Sejuani,Jax,Azir,Jinx,Lulu,LCK,2025,Cup,0,BNK FEARX,Red,0,Skarner,Vi,Kalista,Ezreal,Lucian,Ambessa,Rakan,Xayah,Akali,Jarvan IV,1
11719-11719_game_2,LPL,2025,Split 1,0,LGD Gaming,Blue,0,Ashe,Viktor,Kalista,Renekton,Leona,Yone,Sejuani,Udyr,Jinx,Braum,LPL,2025,Split 1,0,Anyone's Legend,Red,1,Skarner,Vi,Rumble,Kai'Sa,Draven,Miss Fortune,Sylas,Xin Zhao,Ambessa,Bard,0
LOLTMNT03_185025,LCK,2025,Cup,0,Dplus Kia,Blue,1,Kalista,Sejuani,Varus,Braum,Poppy,Nidalee,Ezreal,Leona,Ambessa,Jayce,LCK,2025,Cup,0,T1,Red,0,Vi,Skarner,K'Sante,LeBlanc,Jax,Ashe,Zyra,Yone,Rell,Gragas,1
11719-11719_game_3,LPL,2025,Split 1,0,LGD Gaming,Blue,0,Ashe,Viktor,Kalista,Poppy,Caitlyn,Rumble,Ahri,Viego,Xayah,Leona,LPL,2025,Split 1,0,Anyone's Legend,Red,1,Skarner,Vi,Draven,Jhin,Renata Glasc,Galio,Nocturne,LeBlanc,Kai'Sa,Alistar,0
LOLTMNT03_185042,LCK,2025,Cup,0,T1,Blue,1,Maokai,Poppy,Vi,Aurora,Elise,K'Sante,Varus,Renata Glasc,Viktor,Xin Zhao,LCK,2025,Cup,0,Dplus Kia,Red,0,Kalista,Azir,Skarner,Nocturne,Sejuani,Rumble,Wukong,Corki,Rakan,Xerath,1
LOLTMNT03_185067,LCK,2025,Cup,0,Dplus Kia,Blue,1,Kalista,Caitlyn,Aurora,Xayah,Sejuani,Vi,Ahri,Jinx,Sion,Braum,LCK,2025,Cup,0,T1,Red,0,Maokai,Kai'Sa,Skarner,Gnar,Lulu,Poppy,Azir,Jax,Jhin,Bard,1
LOLTMNT03_185467,LCK,2025,Cup,0,Gen.G,Blue,1,Yone,Varus,Vi,Rell,Poppy,Ashe,Nidalee,Leona,Renekton,Hwei,LCK,2025,Cup,0,Hanwha Life Esports,Red,0,K'Sante,Skarner,Kalista,Jayce,Azir,Corki,Zyra,Caitlyn,Ambessa,Bard,1
LOLTMNT03_184583,LCK,2025,Cup,0,Hanwha Life Esports,Blue,0,K'Sante,Poppy,Varus,Xayah,Ezreal,Vi,Aurora,Rakan,Tristana,Ornn,LCK,2025,Cup,0,Gen.G,Red,1,Skarner,Yone,Kalista,Miss Fortune,Jhin,Jayce,Xin Zhao,Galio,Jinx,Lulu,0
11720-11720_game_1,LPL,2025,Split 1,0,EDward Gaming,Blue,0,Kalista,Vi,Galio,Leona,Yone,Rumble,Viktor,Varus,Rell,Viego,LPL,2025,Split 1,0,Bilibili Gaming,Red,1,Ashe,Skarner,Nocturne,Xin Zhao,Wukong,Corki,Zyra,K'Sante,Miss Fortune,Alistar,0
11720-11720_game_2,LPL,2025,Split 1,0,EDward Gaming,Blue,0,Kalista,Caitlyn,Ashe,Braum,Taliyah,Aurora,Ambessa,Xin Zhao,Poppy,Xayah,LPL,2025,Split 1,0,Bilibili Gaming,Red,1,Skarner,Nocturne,Wukong,Rakan,Kai'Sa,Jayce,Vi,Ezreal,Leona,Vladimir,0
LOLTMNT03_184622,LCK,2025,Cup,0,Nongshim RedForce,Blue,1,K'Sante,Yone,Vi,Draven,Xin Zhao,Kalista,Sejuani,Rumble,Elise,Smolder,LCK,2025,Cup,0,HANJIN BRION,Red,0,Corki,Skarner,Neeko,Blitzcrank,Jayce,Ambessa,Renata Glasc,Aurora,Varus,Nocturne,1
11720-11720_game_3,LPL,2025,Split 1,0,EDward Gaming,Blue,0,Caitlyn,Kalista,Sejuani,Sylas,Jax,Ashe,Lee Sin,Braum,Gangplank,Taliyah,LPL,2025,Split 1,0,Bilibili Gaming,Red,1,Ambessa,Skarner,Nocturne,LeBlanc,Renekton,Wukong,Jhin,Rakan,Gnar,Swain,0
LOLTMNT03_184660,LCK,2025,Cup,0,HANJIN BRION,Blue,0,K'Sante,Jayce,Viktor,Braum,Nautilus,Corki,Zyra,Leona,Jax,Ezreal,LCK,2025,Cup,0,Nongshim RedForce,Red,1,Skarner,Vi,Renekton,Yone,Miss Fortune,Maokai,Azir,Ashe,Rell,Gangplank,0
LOLTMNT03_186192,LCK,2025,Cup,0,Dplus Kia,Blue,1,Kalista,Nocturne,K'Sante,Ziggs,Kai'Sa,Varus,Jayce,Lillia,Poppy,Sett,LCK,2025,Cup,0,DN SOOPers,Red,0,Skarner,Vi,Nidalee,Renekton,Rell,Corki,Sejuani,Ambessa,Leona,Miss Fortune,1
LOLTMNT03_187100,LCK,2025,Cup,0,DN SOOPers,Blue,0,LeBlanc,Nidalee,K'Sante,Sylas,Rell,Vi,Ashe,Gnar,Taliyah,Nautilus,LCK,2025,Cup,0,Dplus Kia,Red,1,Kalista,Skarner,Yone,Braum,Ahri,Pantheon,Rumble,Ezreal,Elise,Zilean,0
LOLTMNT03_186260,LCK,2025,Cup,0,Kiwoom DRX,Blue,0,Sejuani,Caitlyn,Aurora,Renata Glasc,Varus,Vi,Taliyah,Ambessa,Ezreal,Poppy,LCK,2025,Cup,0,T1,Red,1,Kalista,K'Sante,Skarner,Leona,Kai'Sa,Jayce,Xin Zhao,Galio,Xayah,Rakan,0
11721-11721_game_1,LPL,2025,Split 1,0,Top Esports,Blue,1,Rumble,Akali,Udyr,Sejuani,Wukong,K'Sante,Orianna,Nocturne,Corki,Leona,LPL,2025,Split 1,0,Team WE,Red,0,Skarner,Kalista,Vi,Ashe,Miss Fortune,Varus,Viktor,Jayce,Rakan,Rengar,1
LOLTMNT03_187132,LCK,2025,Cup,0,Kiwoom DRX,Blue,0,Sejuani,Varus,Kalista,Nocturne,Braum,Corki,Leona,Wukong,Ornn,Viktor,LCK,2025,Cup,0,T1,Red,1,Skarner,Yone,K'Sante,Jax,Akali,Rumble,Aurora,Caitlyn,Elise,Lee Sin,0
11721-11721_game_2,LPL,2025,Split 1,0,Team WE,Blue,0,Kalista,Akali,Yone,Taliyah,Sylas,Aurora,Wukong,Renekton,Ezreal,Braum,LPL,2025,Split 1,0,Top Esports,Red,1,Skarner,Rumble,Ashe,Kai'Sa,Poppy,Vi,Miss Fortune,Gnar,Vladimir,Alistar,0
11721-11721_game_3,LPL,2025,Split 1,0,Team WE,Blue,0,Kalista,Akali,LeBlanc,Ambessa,Tristana,Yone,Ziggs,Sejuani,Aatrox,Pyke,LPL,2025,Split 1,0,Top Esports,Red,1,Rumble,Skarner,Udyr,Jax,Nautilus,Ashe,Zyra,Rell,Smolder,Camille,0
LOLTMNT06_96344,LEC,2025,Winter,0,Team Heretics,Blue,0,Kalista,Azir,Aurora,Renata Glasc,Wukong,Viktor,Sejuani,K'Sante,Zeri,Rell,LEC,2025,Winter,0,Rogue,Red,1,Skarner,Vi,Corki,Ashe,Ezreal,Varus,Maokai,Orianna,Garen,Alistar,0
LOLTMNT06_96348,LEC,2025,Winter,0,Team Vitality,Blue,1,Varus,K'Sante,Maokai,Ashe,Blitzcrank,Corki,Ivern,Jax,Taliyah,Alistar,LEC,2025,Winter,0,Team BDS,Red,0,Skarner,Viktor,Elise,Leona,Kalista,Renekton,Sejuani,Azir,Rell,Miss Fortune,1
LOLTMNT06_95363,LEC,2025,Winter,0,GiantX,Blue,1,Kalista,Vi,Rumble,Ashe,Varus,Viktor,Jax,Maokai,Rell,Ezreal,LEC,2025,Winter,0,SK Gaming,Red,0,Skarner,Corki,Gnar,Rakan,Poppy,Jayce,Xin Zhao,Galio,Jinx,Braum,1
LOLTMNT06_96368,LEC,2025,Winter,0,Movistar KOI,Blue,1,Poppy,Ezreal,Aurora,Ornn,Gnar,Skarner,Varus,Rell,Azir,K'Sante,LEC,2025,Winter,0,Fnatic,Red,0,Kalista,Zyra,Corki,Akali,Yone,Miss Fortune,Ivern,Viktor,Alistar,Jax,1
LOLTMNT06_95385,LEC,2025,Winter,0,Karmine Corp,Blue,1,Azir,Maokai,Kalista,Ambessa,Gnar,Viktor,Ezreal,Sejuani,Alistar,Jayce,LEC,2025,Winter,0,G2 Esports,Red,0,Skarner,Vi,Varus,Poppy,Braum,Miss Fortune,Wukong,Akali,Rell,Gragas,1
LOLTMNT03_187435,LCK,2025,Cup,0,KT Rolster,Blue,0,Yone,Varus,K'Sante,Poppy,Caitlyn,Vi,Rumble,Galio,Leona,Kai'Sa,LCK,2025,Cup,0,Hanwha Life Esports,Red,1,Skarner,Kalista,Ashe,Miss Fortune,Jinx,Jayce,Xin Zhao,Azir,Rakan,Xayah,0
LOLTMNT03_187440,LCK,2025,Cup,0,KT Rolster,Blue,0,Varus,Corki,Poppy,Wukong,Nocturne,Yone,Ziggs,Ambessa,Alistar,Viego,LCK,2025,Cup,0,Hanwha Life Esports,Red,1,Skarner,Kalista,Sejuani,Maokai,Zyra,K'Sante,Ashe,Akali,Rell,Lee Sin,0
LOLTMNT03_187470,LCK,2025,Cup,0,BNK FEARX,Blue,0,Jayce,Galio,Rumble,Jax,Renekton,K'Sante,Zyra,Corki,Alistar,Ezreal,LCK,2025,Cup,0,Gen.G,Red,1,Skarner,Vi,Kalista,LeBlanc,Rell,Nidalee,Varus,Yone,Leona,Aurora,0
11722-11722_game_1,LPL,2025,Split 1,0,Invictus Gaming,Blue,1,Nocturne,Vi,Corki,Rakan,Rell,Viktor,Xin Zhao,K'Sante,Miss Fortune,Leona,LPL,2025,Split 1,0,Ninjas in Pyjamas,Red,0,Skarner,Rumble,Kalista,Ashe,Poppy,Varus,Wukong,Akali,Maokai,Braum,1
LOLTMNT03_187471,LCK,2025,Cup,0,BNK FEARX,Blue,0,Ashe,Azir,Rumble,Xayah,Lulu,Jayce,Wukong,Galio,Jinx,Tahm Kench,LCK,2025,Cup,0,Gen.G,Red,1,Skarner,Vi,Kalista,Rakan,Poppy,Xin Zhao,Ambessa,Sylas,Rell,Miss Fortune,0
11722-11722_game_2,LPL,2025,Split 1,0,Ninjas in Pyjamas,Blue,1,Kalista,Nocturne,Aurora,Gnar,Orianna,Jayce,Zyra,Jhin,Ambessa,Nautilus,LPL,2025,Split 1,0,Invictus Gaming,Red,0,Rumble,Skarner,Corki,Poppy,Renekton,Ashe,Vi,Rell,Taliyah,Karma,1
11722-11722_game_3,LPL,2025,Split 1,0,Invictus Gaming,Blue,0,Galio,Udyr,Corki,Nilah,Blitzcrank,Nocturne,Aurora,Jinx,Lulu,Jax,LPL,2025,Split 1,0,Ninjas in Pyjamas,Red,1,Kalista,Skarner,Rumble,Thresh,Ornn,Renekton,Viego,Ryze,Rakan,Kai'Sa,0
11722-11722_game_4,LPL,2025,Split 1,0,Invictus Gaming,Blue,0,Galio,Karthus,Sylas,Lillia,Blitzcrank,Corki,Pantheon,Azir,Gragas,Poppy,LPL,2025,Split 1,0,Ninjas in Pyjamas,Red,1,Kalista,Skarner,Rumble,Gnar,Neeko,Ezreal,Lee Sin,Udyr,Alistar,Brand,0
LOLTMNT06_96430,LEC,2025,Winter,0,Team Heretics,Blue,1,Rumble,Aurora,Vi,Ambessa,Renata Glasc,Viktor,Maokai,Ezreal,Jax,Leona,LEC,2025,Winter,0,SK Gaming,Red,0,Skarner,Corki,Kalista,K'Sante,Braum,Varus,Galio,Xin Zhao,Jayce,Rell,1
LOLTMNT06_95435,LEC,2025,Winter,0,Rogue,Blue,0,Varus,Jax,Ezreal,Ziggs,Caitlyn,Corki,Sejuani,Azir,Renekton,Leona,LEC,2025,Winter,0,GiantX,Red,1,Viktor,Skarner,Kalista,K'Sante,Poppy,Rumble,Vi,Yone,Kai'Sa,Rell,0
LOLTMNT06_95446,LEC,2025,Winter,0,Movistar KOI,Blue,0,Ezreal,Caitlyn,Vi,Pyke,Seraphine,Kalista,Renata Glasc,K'Sante,Xin Zhao,Ahri,LEC,2025,Winter,0,Karmine Corp,Red,1,Azir,Skarner,Viktor,Orianna,Sylas,Corki,Maokai,Varus,Rumble,Rell,0
LOLTMNT06_96459,LEC,2025,Winter,0,G2 Esports,Blue,0,Zyra,Maokai,Gnar,Cassiopeia,Neeko,Vi,Kalista,Renata Glasc,Ambessa,Sylas,LEC,2025,Winter,0,Team BDS,Red,1,Skarner,Corki,Viktor,Aurora,Gragas,K'Sante,Varus,Sejuani,Seraphine,Orianna,0
LOLTMNT06_96473,LEC,2025,Winter,0,Fnatic,Blue,1,Maokai,Elise,Kalista,Alistar,Jax,Skarner,Ezreal,Rell,Rumble,Yone,LEC,2025,Winter,0,Team Vitality,Red,0,Viktor,K'Sante,Poppy,Taliyah,Orianna,Ivern,Azir,Corki,Leona,Ambessa,1
11723-11723_game_1,LPL,2025,Split 1,0,JD Gaming,Blue,1,Corki,Ashe,Vi,Nocturne,Wukong,K'Sante,Leona,Nidalee,Ziggs,Jayce,LPL,2025,Split 1,0,Ultra Prime,Red,0,Skarner,Kalista,Viktor,Ezreal,Miss Fortune,Rumble,Varus,Rell,Xin Zhao,Aurora,1
11723-11723_game_2,LPL,2025,Split 1,0,Ultra Prime,Blue,0,Corki,Ashe,Akali,Caitlyn,Ezreal,Yone,Lillia,Renekton,Rakan,Xayah,LPL,2025,Split 1,0,JD Gaming,Red,1,Skarner,Kalista,Viktor,Miss Fortune,Jhin,Ambessa,Zyra,Maokai,Jinx,Nautilus,0
11723-11723_game_3,LPL,2025,Split 1,0,Ultra Prime,Blue,0,Poppy,Corki,Orianna,Udyr,Malphite,Vi,Jax,Kai'Sa,Tryndamere,Elise,LPL,2025,Split 1,0,JD Gaming,Red,1,Skarner,Kalista,Ashe,Akali,Sylas,Ezreal,Wukong,Viktor,Ornn,Galio,0
LOLTMNT06_95500,LEC,2025,Winter,0,Team BDS,Blue,1,Garen,Azir,Orianna,Renata Glasc,Alistar,Corki,Maokai,K'Sante,Rell,Hwei,LEC,2025,Winter,0,Rogue,Red,0,Skarner,Viktor,Varus,Ezreal,Jinx,Kalista,Sejuani,Olaf,Cassiopeia,Leona,1
LOLTMNT06_96516,LEC,2025,Winter,0,Team Heretics,Blue,0,Aurora,Kalista,Poppy,Yone,Azir,Viktor,Ivern,Corki,Leona,Renekton,LEC,2025,Winter,0,Fnatic,Red,1,Skarner,K'Sante,Vi,Alistar,Jax,Maokai,Varus,Rell,Hwei,Jayce,0
LOLTMNT06_96529,LEC,2025,Winter,0,Movistar KOI,Blue,1,Elise,Kalista,Viktor,Gnar,Jax,Corki,Zyra,K'Sante,Rell,Yone,LEC,2025,Winter,0,Team Vitality,Red,0,Azir,Skarner,Maokai,Nautilus,Varus,Vi,Ezreal,Rakan,Ambessa,Ahri,1
LOLTMNT06_95531,LEC,2025,Winter,0,G2 Esports,Blue,1,Rumble,Vi,Varus,Renekton,Braum,Viktor,Draven,Xin Zhao,Rell,Poppy,LEC,2025,Winter,0,SK Gaming,Red,0,Skarner,Kalista,Maokai,Gnar,Nautilus,Corki,Nidalee,Yone,K'Sante,Leona,1
LOLTMNT06_96548,LEC,2025,Winter,0,GiantX,Blue,1,Kalista,Rumble,Maokai,Aurora,Ahri,Corki,Sejuani,K'Sante,Yone,Poppy,LEC,2025,Winter,0,Karmine Corp,Red,0,Skarner,Viktor,Jax,Ziggs,Sylas,Varus,Vi,Ambessa,Taliyah,Renata Glasc,1
11724-11724_game_1,LPL,2025,Split 1,0,EDward Gaming,Blue,1,Rumble,Aurora,Kalista,Zyra,Jayce,K'Sante,Wukong,Varus,Taliyah,Rakan,LPL,2025,Split 1,0,ThunderTalk Gaming,Red,0,Skarner,Viktor,Corki,Neeko,Renata Glasc,Ashe,Poppy,Braum,Vi,Ahri,1
11724-11724_game_2,LPL,2025,Split 1,0,ThunderTalk Gaming,Blue,1,Viktor,Corki,Nocturne,Rell,Alistar,Leona,Xin Zhao,Ezreal,Aurora,Ornn,LPL,2025,Split 1,0,EDward Gaming,Red,0,Kalista,Rumble,Skarner,Ambessa,Gragas,Jayce,Miss Fortune,Lee Sin,Elise,Vladimir,1
11724-11724_game_3,LPL,2025,Split 1,0,EDward Gaming,Blue,0,Nocturne,Kalista,Galio,Alistar,Nautilus,Rumble,Rell,Viego,Ryze,Xayah,LPL,2025,Split 1,0,ThunderTalk Gaming,Red,1,Skarner,Viktor,Corki,LeBlanc,Jhin,Sejuani,Akali,Ambessa,Jinx,Lulu,0
11724-11724_game_4,LPL,2025,Split 1,0,EDward Gaming,Blue,0,Caitlyn,Nocturne,Yone,Gnar,Jax,Kalista,Renekton,Neeko,LeBlanc,Kha'Zix,LPL,2025,Split 1,0,ThunderTalk Gaming,Red,1,Skarner,Viktor,Corki,Pantheon,Maokai,Zyra,Nautilus,Ziggs,Sion,Yasuo,0
LOLTMNT03_188641,LCK,2025,Cup,0,Dplus Kia,Blue,1,Kalista,Zyra,K'Sante,Poppy,Akali,Skarner,Ambessa,Leona,Ziggs,Ahri,LCK,2025,Cup,0,BNK FEARX,Red,0,Jayce,Pantheon,Ezreal,Sylas,LeBlanc,Rumble,Varus,Vi,Renata Glasc,Yone,1
LOLTMNT03_188645,LCK,2025,Cup,0,BNK FEARX,Blue,1,Nidalee,Lillia,Corki,Braum,Taliyah,K'Sante,Wukong,Azir,Zeri,Alistar,LCK,2025,Cup,0,Dplus Kia,Red,0,Zyra,Kalista,Poppy,Kai'Sa,Rakan,Jayce,Sejuani,Ezreal,Viktor,Pantheon,1
11725-11725_game_1,LPL,2025,Split 1,0,LGD Gaming,Blue,1,Ashe,Zyra,Varus,Braum,Akali,Rumble,Sejuani,Yone,Rell,Ezreal,LPL,2025,Split 1,0,Team WE,Red,0,Skarner,Kalista,Vi,Draven,Alistar,Corki,Xin Zhao,Galio,Leona,Aurora,1
LOLTMNT03_188655,LCK,2025,Cup,0,Dplus Kia,Blue,1,Zyra,Nocturne,Corki,Jax,Gnar,Ashe,Viego,Braum,Sion,Zoe,LCK,2025,Cup,0,BNK FEARX,Red,0,Nidalee,Lillia,Maokai,Gragas,Taliyah,Xin Zhao,Kalista,Neeko,Renekton,Galio,1
11725-11725_game_2,LPL,2025,Split 1,0,Team WE,Blue,0,Vi,Kalista,Udyr,Renata Glasc,Poppy,K'Sante,Akali,Wukong,Kai'Sa,Rakan,LPL,2025,Split 1,0,LGD Gaming,Red,1,Skarner,Zyra,Nocturne,Ashe,Miss Fortune,Varus,Ambessa,Lee Sin,Taliyah,Nautilus,0
LOLTMNT03_188679,LCK,2025,Cup,0,DN SOOPers,Blue,1,Varus,Corki,Poppy,Xayah,Ezreal,Vi,Taliyah,Ambessa,Kai'Sa,Rell,LCK,2025,Cup,0,Kiwoom DRX,Red,0,Skarner,Kalista,K'Sante,Caitlyn,Ashe,Jayce,Aurora,Pantheon,Miss Fortune,Leona,1
