gameid,blue_league,blue_year,blue_split,blue_playoffs,blue_teamname,blue_side,blue_result,blue_ban1,blue_ban2,blue_ban3,blue_ban4,blue_ban5,blue_pick1,blue_pick2,blue_pick3,blue_pick4,blue_pick5,red_league,red_year,red_split,red_playoffs,red_teamname,red_side,red_result,red_ban1,red_ban2,red_ban3,red_ban4,red_ban5,red_pick1,red_pick2,red_pick3,red_pick4,red_pick5,blue_win
LOLTMNT03_214145,LTA S,2025,Split 2,0,Isurus Estral,Blue,0,Jayce,Yone,Ryze,Ivern,Sejuani,Gwen,Skarner,Azir,Jhin,Leona,LTA S,2025,Split 2,0,paiN Gaming,Red,1,Varus,Kalista,Vi,Ashe,Ezreal,Corki,Miss Fortune,Rumble,Maokai,Alistar,0
LOLTMNT06_110120,LEC,2025,Spring,0,Team Heretics,Blue,0,Kalista,Azir,Jayce,Braum,Warwick,Skarner,Viktor,Miss Fortune,Ambessa,Pyke,LEC,2025,Spring,0,G2 Esports,Red,1,Gwen,Maokai,Yone,Rumble,Rakan,Ivern,Ashe,Hwei,Leona,Renekton,0
LOLTMNT03_213170,LTA S,2025,Split 2,0,FURIA,Blue,0,Vi,Rumble,Ivern,Ezreal,Kai'Sa,Varus,Lillia,Corki,Volibear,Braum,LTA S,2025,Split 2,0,Leviatan,Red,1,Naafiri,Gwen,Jayce,Renekton,Camille,Yone,Sejuani,Ambessa,Alistar,Ashe,0
LOLTMNT03_214199,LTA S,2025,Split 2,0,Vivo Keyd Stars,Blue,1,Kalista,Naafiri,Aurora,Camille,Gnar,Varus,Vi,Ahri,Aatrox,Leona,LTA S,2025,Split 2,0,Fluxo W7M,Red,0,Gwen,Jayce,Rumble,Braum,Renekton,Miss Fortune,Xin Zhao,Taliyah,Ambessa,Alistar,1
LOLTMNT03_214223,LTA S,2025,Split 2,0,LOUD,Blue,0,Yone,Jayce,Gwen,Irelia,Skarner,Vi,Ezreal,Ryze,Rakan,Poppy,LTA S,2025,Split 2,0,RED Canids,Red,1,Jax,Rumble,Sejuani,Alistar,Camille,Ambessa,Varus,Rell,Naafiri,Taliyah,0
LOLTMNT03_213249,LTA N,2025,Split 2,0,Team Liquid,Blue,0,Vi,Yone,Ivern,Cassiopeia,Sett,Gwen,Kalista,Renata Glasc,Jarvan IV,Ahri,LTA N,2025,Split 2,0,FlyQuest,Red,1,Taliyah,Rumble,Skarner,Sejuani,Tristana,Varus,Xin Zhao,Neeko,Ryze,Vladimir,0
LOLTMNT03_214267,LTA N,2025,Split 2,0,Shopify Rebellion,Blue,1,Kalista,Jayce,Skarner,Poppy,Neeko,Naafiri,Ezreal,Aurora,Ambessa,Leona,LTA N,2025,Split 2,0,Dignitas,Red,0,Gwen,Yone,Ryze,Galio,Renekton,Varus,Taliyah,Vi,Rumble,Rell,1
LOLTMNT03_213276,LTA N,2025,Split 2,0,Cloud9,Blue,0,Jayce,Yone,Kalista,Jax,Nautilus,Gwen,Ezreal,Ryze,Alistar,Lee Sin,LTA N,2025,Split 2,0,100 Thieves,Red,1,Rumble,Naafiri,Poppy,Xin Zhao,Kindred,Varus,Vi,Azir,Riven,Renata Glasc,0
LOLTMNT03_214309,LTA N,2025,Split 2,0,Disguised,Blue,0,Kalista,Poppy,Naafiri,Ezreal,Miss Fortune,Gwen,Varus,Skarner,Viktor,Rakan,LTA N,2025,Split 2,0,LYON,Red,1,Ivern,Jayce,Vi,Alistar,Azir,Jax,Sejuani,Yone,Neeko,Kai'Sa,0
LOLTMNT02_244630,LCK,2025,Rounds 1-2,0,KT Rolster,Blue,0,Varus,Vi,Ambessa,Rumble,Braum,Gwen,Xin Zhao,Aurora,Jhin,Rell,LCK,2025,Rounds 1-2,0,Dplus Kia,Red,1,Kalista,Azir,Naafiri,Rakan,Nautilus,Jayce,Sejuani,Ezreal,Ryze,Poppy,0
